topic,variable,discipline,location,value
ageing,count_lq,Medical Science,Wales,0.9450006575918984
agriculture_plant_biology_entomology,count_lq,Life Sciences,Wales,0.8382026380695264
applications_devices_users,count_lq,Mathematics and Computing,Wales,1.1305509822768267
archaeology,count_lq,Arts and Humanities,Wales,1.2541802205649
architecture_spatial,count_lq,Arts and Humanities,Wales,0.9487996552103584
astronomy,count_lq,Physics,Wales,1.174282840822484
astrophysics,count_lq,Physics,Wales,1.0859181565323643
bio_informatics,count_lq,Life Sciences,Wales,0.599400417101147
biopharmaceuticals,count_lq,Life Sciences,Wales,0.39865110876085785
bones_muscles,count_lq,Life Sciences,Wales,0.6555942062043797
carbon_greenhouse_pollution,count_lq,Environmental Sciences,Wales,1.05323716023027
cells_cancer,count_lq,Medical Science,Wales,0.7204032068177157
cellular_biology_cancer,count_lq,Life Sciences,Wales,0.4929416007949999
chemistry_biochemistry,count_lq,Engineering and Technology,Wales,0.9414516417549844
classic_religious_history,count_lq,Arts and Humanities,Wales,1.1800695711678832
climate_science,count_lq,Environmental Sciences,Wales,1.1774217477281907
cognition_&_audio,count_lq,Mathematics and Computing,Wales,0.7213414761675694
computer_science,count_lq,Mathematics and Computing,Wales,0.7150559568537658
computer_vision,count_lq,Mathematics and Computing,Wales,1.272497606796697
cosmology,count_lq,Physics,Wales,1.4037053563500097
criminology_violence,count_lq,Social Sciences,Wales,1.2406944117416214
cyber_security,count_lq,Mathematics and Computing,Wales,0.5589435505827748
data_methods,count_lq,Medical Science,Wales,0.7776405740809774
design_&_heritage,count_lq,Arts and Humanities,Wales,1.2348549946294307
development_studies,count_lq,Social Sciences,Wales,0.6575512038348404
disease_infection_health,count_lq,Medical Science,Wales,0.4858298117556665
drug_tests,count_lq,Medical Science,Wales,0.9054386965274124
economics,count_lq,Social Sciences,Wales,0.924124903420243
ecosystems,count_lq,Environmental Sciences,Wales,0.9639812487249616
education,count_lq,Social Sciences,Wales,1.1285007852830238
electronics_transistors,count_lq,Engineering and Technology,Wales,0.8309368787498547
energy_environmental,count_lq,Engineering and Technology,Wales,1.38431377389594
energy_transport_technology,count_lq,Engineering and Technology,Wales,0.9994109623945202
environment,count_lq,Social Sciences,Wales,0.9294500138593736
environmental_policy,count_lq,Environmental Sciences,Wales,1.1752023925841386
epidemiology_immunology,count_lq,Life Sciences,Wales,0.4229640040028255
evidence_for_policy,count_lq,Social Sciences,Wales,1.29827938443849
experiments,count_lq,Medical Science,Wales,0.9782960175485044
gender_sexuality,count_lq,Social Sciences,Wales,1.0758469024892383
genetics,count_lq,Medical Science,Wales,0.6374838690164133
geology,count_lq,Environmental Sciences,Wales,1.345767151723887
health_interventions_policy,count_lq,Medical Science,Wales,1.274280886726142
health_social_issues,count_lq,Arts and Humanities,Wales,0.8934844377572464
hidrology,count_lq,Environmental Sciences,Wales,1.659357086890181
imaging,count_lq,Life Sciences,Wales,0.6262392417474671
industrial_application,count_lq,Life Sciences,Wales,0.8927240254697933
ionisation_plasma,count_lq,Engineering and Technology,Wales,1.070617998953446
law,count_lq,Social Sciences,Wales,1.0999483345278436
linguistics,count_lq,Arts and Humanities,Wales,2.1770675526786945
literature,count_lq,Arts and Humanities,Wales,1.3639607014530746
management,count_lq,Social Sciences,Wales,1.337588179101553
materials,count_lq,Engineering and Technology,Wales,1.024585584919769
mathematics,count_lq,Mathematics and Computing,Wales,0.8253486273211298
media_performance,count_lq,Arts and Humanities,Wales,0.997208765670518
medieval_modern_history,count_lq,Arts and Humanities,Wales,1.080247623697688
migration_colonial_history,count_lq,Arts and Humanities,Wales,1.1316480903776842
military_history,count_lq,Arts and Humanities,Wales,0.9001722592937369
minerals_fuels,count_lq,Environmental Sciences,Wales,1.2798868322716799
modelling_&_sensors,count_lq,Environmental Sciences,Wales,0.8217199962657611
modelling_measurement,count_lq,Mathematics and Computing,Wales,0.8544935523577449
networks,count_lq,Mathematics and Computing,Wales,0.8364293859466778
neurology,count_lq,Medical Science,Wales,0.7024647422135615
neuroscience,count_lq,Life Sciences,Wales,0.7048479006509055
nutrition_health,count_lq,Life Sciences,Wales,0.6178952406302146
obesity_metabolism,count_lq,Medical Science,Wales,0.6967200420179385
particle_physics,count_lq,Physics,Wales,0.6555942062043796
philosophy,count_lq,Arts and Humanities,Wales,0.632700440273433
photonics_imaging_quantum,count_lq,Engineering and Technology,Wales,1.148986903080809
political_history,count_lq,Arts and Humanities,Wales,0.8827803172653031
prosthetics_robotics_health,count_lq,Engineering and Technology,Wales,0.9548776031028048
psychiatry_mental_health,count_lq,Medical Science,Wales,1.4884853545493781
psychology,count_lq,Social Sciences,Wales,1.0789207507820646
public_engagement_infrastructure,count_lq,Physics,Wales,1.2539181139357327
reproduction_fertility,count_lq,Medical Science,Wales,0.7034383593198865
respiratory_system,count_lq,Medical Science,Wales,0.7886847593436145
robotics_cybernetics,count_lq,Mathematics and Computing,Wales,0.8198695360349022
security,count_lq,Engineering and Technology,Wales,1.2340596822670675
sensors_data_telescopy,count_lq,Physics,Wales,1.247400868021306
social_care,count_lq,Social Sciences,Wales,1.1910871270934982
social_history,count_lq,Arts and Humanities,Wales,1.0996835536657088
social_history_identity,count_lq,Arts and Humanities,Wales,1.2892131876197854
sociology,count_lq,Social Sciences,Wales,0.8179232777816609
statistics_data_analysis,count_lq,Mathematics and Computing,Wales,0.8505005918327087
surgert_cardiology,count_lq,Medical Science,Wales,0.7389868156041539
systems_infrastructure,count_lq,Engineering and Technology,Wales,1.1157290017477124
theoretical_physics,count_lq,Physics,Wales,1.2824162528888177
transport_communications,count_lq,Mathematics and Computing,Wales,1.1210952877992757
visual,count_lq,Arts and Humanities,Wales,1.1218163728354802
ageing,count_total,Medical Science,Wales,5.0
agriculture_plant_biology_entomology,count_total,Life Sciences,Wales,105.0
applications_devices_users,count_total,Mathematics and Computing,Wales,124.0
archaeology,count_total,Arts and Humanities,Wales,22.0
architecture_spatial,count_total,Arts and Humanities,Wales,9.0
astronomy,count_total,Physics,Wales,52.0
astrophysics,count_total,Physics,Wales,47.0
bio_informatics,count_total,Life Sciences,Wales,48.0
biopharmaceuticals,count_total,Life Sciences,Wales,8.0
bones_muscles,count_total,Life Sciences,Wales,9.0
carbon_greenhouse_pollution,count_total,Environmental Sciences,Wales,86.0
cells_cancer,count_total,Medical Science,Wales,132.0
cellular_biology_cancer,count_total,Life Sciences,Wales,102.0
chemistry_biochemistry,count_total,Engineering and Technology,Wales,141.0
classic_religious_history,count_total,Arts and Humanities,Wales,18.0
climate_science,count_total,Environmental Sciences,Wales,214.0
cognition_&_audio,count_total,Mathematics and Computing,Wales,12.0
computer_science,count_total,Mathematics and Computing,Wales,59.0
computer_vision,count_total,Mathematics and Computing,Wales,37.0
cosmology,count_total,Physics,Wales,55.0
criminology_violence,count_total,Social Sciences,Wales,22.0
cyber_security,count_total,Mathematics and Computing,Wales,15.0
data_methods,count_total,Medical Science,Wales,45.0
design_&_heritage,count_total,Arts and Humanities,Wales,274.0
development_studies,count_total,Social Sciences,Wales,21.0
disease_infection_health,count_total,Medical Science,Wales,33.0
drug_tests,count_total,Medical Science,Wales,100.0
economics,count_total,Social Sciences,Wales,67.0
ecosystems,count_total,Environmental Sciences,Wales,194.0
education,count_total,Social Sciences,Wales,61.0
