location,industry,year,employment,business_counts,median_salary,median_salary_decile,uniqueness_score,uniqueness_decile,high_prob_lads_n,future_dev_prediction,business_counts_lq,employment_lq
wales,construction_construction,2011.0,35100,5150.0,26143.371824480364,6.0,-0.9659012933272916,1.0,1.0,*,1.3701325240483044,1.1891021291245158
wales,construction_infrastructure,2011.0,1800,675.0,20350.0,2.0,-0.154122390991466,4.0,0.0,*,0.9514745187429987,0.5498236156082211
wales,manufacture_aerospace,2011.0,11000,60.0,33831.31707317075,9.0,0.06607903529347264,5.0,0.0,*,1.457510642733207,2.5196322497895425
wales,manufacture_armaments,2011.0,600,0.0,35186.0,9.0,0.9848841898996157,8.0,0.0,*,0.0,1.1516259769406443
wales,manufacture_automotive,2011.0,8300,75.0,29207.56934306569,7.0,-0.8228729682322001,2.0,1.0,*,1.0246449635954815,1.4047816363156935
wales,manufacture_casting,2011.0,400,5.0,*,*,-0.8907203123422923,1.0,0.0,*,1.1826834240822421,0.7578622683086662
wales,manufacture_chemical,2011.0,3500,75.0,29803.333333333336,8.0,-0.35289650113275095,3.0,2.0,*,0.9963587151954156,1.1875623396759034
wales,manufacture_electrical,2011.0,4700,30.0,23318.372093023263,4.0,0.02841163632418868,5.0,0.0,*,0.450182722715176,1.422631282377132
wales,manufacture_electronics,2011.0,6100,155.0,29643.03738317756,7.0,-0.02018636218179902,5.0,0.0,*,0.899242561898325,1.248007061640662
wales,manufacture_food,2011.0,17500,530.0,20020.212209302335,2.0,-1.2016488866065744,0.0,10.0,*,1.5293088254337521,1.175959464035742
wales,manufacture_footwear_leather,2011.0,300,10.0,*,*,1.4744280926597009,9.0,0.0,*,0.44945779079453974,0.575080489442157
wales,manufacture_furniture,2011.0,8600,815.0,19581.855855855858,2.0,-1.2691339052867017,0.0,14.0,*,1.2356183041172104,1.1139638051054066
wales,manufacture_instruments,2011.0,3200,80.0,21228.0,3.0,0.06987983929566453,5.0,1.0,*,1.1427360822248072,1.526516741701332
wales,manufacture_light,2011.0,100,5.0,*,*,1.237322841807796,8.0,0.0,*,0.10885853669399732,0.22294025827185743
wales,manufacture_machinery_tools,2011.0,18300,1110.0,25731.669642857156,5.0,-1.3206154028550612,0.0,15.0,*,1.1628847300224614,1.347145256051253
wales,manufacture_materials,2011.0,1200,30.0,20085.0,2.0,0.3040223222540153,6.0,0.0,*,1.0350307345491068,0.9673185098383502
wales,manufacture_metal_equipment,2011.0,11500,120.0,27985.730769230755,6.0,-0.8622518006159724,2.0,0.0,*,0.9998087931345998,1.7179219784015856
wales,manufacture_oils,2011.0,2300,10.0,20414.142857142844,3.0,1.2303175084855615,8.0,0.0,*,0.6807641172766078,1.4118224620865205
wales,manufacture_paper,2011.0,3900,35.0,25686.16666666667,5.0,0.32931872250502336,6.0,0.0,*,1.5457223232467276,1.9236924395087782
wales,manufacture_pesticides,2011.0,200,0.0,*,*,0.57170965141604,7.0,0.0,*,0.0,0.5969483515571674
wales,manufacture_pharmaceuticals,2011.0,3300,15.0,33372.0,9.0,2.785286836673827,9.0,0.0,*,1.681405349900055,1.98435942908992
wales,manufacture_plastics,2011.0,8800,265.0,21350.564885496176,3.0,-1.0272204265945828,1.0,3.0,*,1.5516052305874433,1.4436789386196471
wales,manufacture_rubber,2011.0,2900,40.0,24857.848484848495,5.0,-0.3044837573580174,4.0,0.0,*,0.9374081883573776,1.8686522270540138
wales,manufacture_ships,2011.0,1000,35.0,29591.882352941193,7.0,-0.7628670239648637,2.0,0.0,*,0.9653127552291818,0.5996620702989984
wales,manufacture_steel_metal,2011.0,3900,30.0,23362.580645161277,4.0,-0.45390095045149326,3.0,0.0,*,0.6175072745208167,1.3200857110252804
