index,0,tags,count
0,0,charting,1
1,1,clojure,22
2,2,google_cardboard,6
3,3,online_score,1
4,4,cio,3
5,5,saas_marketing,1
6,6,aquaponic_and_hydroponics,1
7,7,pmp,5
8,8,image_analysis,2
9,9,journalism,19
10,10,health_and_technology,2
11,11,founders,7
12,12,project_management_practices,7
13,13,apps,13
14,14,creating,1
15,15,to_promote_r_for_big_data_analytics,3
16,16,google_apps_script,2
17,17,game_artist,1
18,18,new_technology,873
19,19,special_education,1
20,20,ict:_information_communications_technology,2
21,21,young_lawyers,1
22,22,html,23
23,23,domain_driven_design,9
24,24,html_and_css,16
25,25,personalized_medicine,1
26,26,mental_health_support,1
27,27,international_business,1
28,28,google_app_engine,5
29,29,healthcare_startups,3
30,30,weave,1
31,31,3d_artists,22
32,32,building_robots_for_the_home,1
33,33,quants,7
34,34,small_business_owners,16
35,35,section_508,2
36,36,microsoft_lync,1
37,37,small_business_pr,1
38,38,aerial_photography,5
39,39,xcode_users,3
40,40,ocaml_programming,6
41,41,diy_photography,1
42,42,eai,1
43,43,ceo_network,1
44,44,ripple,1
45,45,android,40
46,46,entrepreneur_futurists,1
47,47,microsoft_dynamics_ax,2
48,48,ui/ux,15
49,49,visualworks,1
50,50,european_football,1
51,51,wordpress_websites,23
52,52,interactive,3
53,53,system_administration,94
54,54,edinburgh,1
55,55,square_mile,1
56,56,data_analytics,260
57,57,windows_phone_7,1
58,58,lua_programming,4
59,59,rc_planes:_remote_controlled,2
60,60,medical_device_sales,1
61,61,social_enterprise,4
62,62,museum,2
63,63,drupal,30
64,64,enterprise_software,2
65,65,project_management_office,1
66,66,blender_3d,3
67,67,rnn,1
68,68,co-creation_and_co-production,1
69,69,user_experience_design,18
70,70,wearables,7
71,71,climate_change_solutions,2
72,72,customer_success_management,2
73,73,designing_web_pages_for_your_business,1
74,74,software_quality,33
75,75,risk_governance_and_compliance,8
76,76,storage_solutions,2
77,77,co-operatives_movement,1
78,78,database_integration_&_migrations,2
79,79,web_api_design,11
80,80,sustainable_development,5
81,81,queer_in_tech,1
82,82,operations_research,2
83,83,devops_automation,24
84,84,dj_mixes_and_vj_sets,1
85,85,veristand,1
86,86,social_media_metrics,1
87,87,hibernate,2
88,88,project_atomic,1
89,89,doctoral_candidates,1
90,90,amazon_seller,9
91,91,tweetup,1
92,92,electronic_music,2
93,93,law,6
94,94,women_in_computing,3
95,95,jasmine,2
96,96,academics,1
97,97,dynamics_ax,1
98,98,stem_education,1
99,99,experience_design,3
100,100,options_pricing,1
101,101,exams,1
102,102,unity_game_engine,4
103,103,self_build,1
