,index,tag_name,topic_name,broad_topic
0,0,apache_storm,Data Warehousing,Data Science
1,1,sql_server_web_services_+_more_data_access_methods,Data Warehousing,Data Science
2,2,power_query,Data Warehousing,Data Science
3,3,algorithmic_trading,Data Warehousing,Data Science
4,4,sql_server_2008,Data Warehousing,Data Science
5,5,real_time_analytics,Data Warehousing,Data Science
6,6,sql_azure,Data Warehousing,Data Science
7,7,lucene_solr_nutch_mahout_and_open_source_search,Data Warehousing,Data Science
8,8,obiee,Data Warehousing,Data Science
9,9,search_engines,Data Warehousing,Data Science
10,10,data_warehouse,Data Warehousing,Data Science
11,11,xquery,Data Warehousing,Data Science
12,12,"search,_information_retrieval",Data Warehousing,Data Science
13,13,dba,Data Warehousing,Data Science
14,14,marklogic,Data Warehousing,Data Science
15,15,sql_server_2012,Data Warehousing,Data Science
16,16,postgres,Data Warehousing,Data Science
17,17,solr,Data Warehousing,Data Science
18,18,high_frequency_trading,Data Warehousing,Data Science
19,19,apache_pig,Data Warehousing,Data Science
20,20,investment_banking,Data Warehousing,Data Science
21,21,information_retrieval,Data Warehousing,Data Science
22,22,web_&_new_technology,Data Warehousing,Data Science
23,23,apache_hive,Data Warehousing,Data Science
24,24,sql_server_data_mining,Data Warehousing,Data Science
25,25,apache_hadoop,Data Analysis,Data Science
26,26,mathematical_modelling,Data Analysis,Data Science
27,27,marketing_analytics,Data Analysis,Data Science
28,28,bayesian_statistics,Data Analysis,Data Science
29,29,quantitative_trading,Data Analysis,Data Science
30,30,bayesian_probability,Data Analysis,Data Science
31,31,agile_data_warehousing_and_business_intelligence,Data Analysis,Data Science
32,32,bigdatadevelopers,Data Analysis,Data Science
33,33,personalisation,Data Analysis,Data Science
34,34,r_programming_language,Data Analysis,Data Science
35,35,quantitative_analysis,Data Analysis,Data Science
36,36,trading,Data Analysis,Data Science
37,37,math,Data Analysis,Data Science
38,38,web_analytics_wednesdays,Data Analysis,Data Science
39,39,life_sciences,Data Analysis,Data Science
40,40,master_data_management,Data Analysis,Data Science
41,41,to_promote_r_for_big_data_analytics,Data Analysis,Data Science
42,42,talend,Data Analysis,Data Science
43,43,applied_math,Data Analysis,Data Science
44,44,mathematics,Data Analysis,Data Science
45,45,waw,Data Analysis,Data Science
46,46,algorithms,Data Analysis,Data Science
47,47,statistical_modeling,Data Analysis,Data Science
48,48,big_data_ingestion,Data Analysis,Data Science
49,49,predictive_modeling,Data Analysis,Data Science
50,50,google_analytics,Data Analysis,Data Science
51,51,power_bi,Data Analysis,Data Science
52,52,data_profiling,Data Analysis,Data Science
53,53,trends_and_forecasting,Data Analysis,Data Science
54,54,quantitative_finance,Data Analysis,Data Science
55,55,data_structures,Data Analysis,Data Science
56,56,women_in_engineering,Data Analysis,Data Science
57,57,bayesian_networks,Data Analysis,Data Science
58,58,civic_engagement_&_technology,Data Analysis,Data Science
59,59,qlikview,Data Analysis,Data Science
60,60,business_intelligence_in_cloud,Data Analysis,Data Science
61,61,linked_data,Data Analysis,Data Science
62,62,graph_theory,Data Analysis,Data Science
63,63,data_integration,Data Analysis,Data Science
64,64,statistical_science,Data Analysis,Data Science
65,65,data_quality,Data Analysis,Data Science
66,66,civic_engagement,Data Analysis,Data Science
67,67,automated_trading_strategies,Data Analysis,Data Science
68,68,pentaho,Data Analysis,Data Science
69,69,data_analysis,Data Analysis,Data Science
70,70,big_data-hadoop,Data Analysis,Data Science
71,71,digital_health,Data Analysis,Data Science
72,72,quants,Data Analysis,Data Science
73,73,semantic_technologies,Data Analysis,Data Science
74,74,data_strategy,Data Analysis,Data Science
75,75,a/b_testing,Data Analysis,Data Science
76,76,self_service_bi,Data Analysis,Data Science
77,77,text_mining,Data Analysis,Data Science
78,78,web_of_data,Data Analysis,Data Science
79,79,conversion_optimization,Data Science,Data Science
80,80,machine_intelligence,Data Science,Data Science
81,81,social_media_analytics,Data Science,Data Science
82,82,analytics,Data Science,Data Science
83,83,mobile_analytics,Data Science,Data Science
84,84,applied_statistics,Data Science,Data Science
85,85,computational_science_and_engineering,Data Science,Data Science
86,86,synthetic_biology,Data Science,Data Science
87,87,visualization,Data Science,Data Science
88,88,artificial_intelligence_applications,Data Science,Data Science
89,89,r_project_for_statistical_computing,Data Science,Data Science
90,90,conversion,Data Science,Data Science
91,91,distributed_computing,Data Science,Data Science
92,92,artificial_intelligence,Data Science,Data Science
93,93,computer_art,Data Science,Data Science
94,94,etl,Data Science,Data Science
95,95,open_data,Data Science,Data Science
96,96,artificial_intelligence_machine_learning_robotics,Data Science,Data Science
97,97,artificial_intelligence_programming,Data Science,Data Science
98,98,image_processing,Data Science,Data Science
99,99,programming_in_r,Data Science,Data Science
100,100,stream_processing,Data Science,Data Science
101,101,neural_networks,Data Science,Data Science
102,102,deep_learning,Data Science,Data Science
103,103,natural_language_processing,Data Science,Data Science
104,104,operations_research,Data Science,Data Science
