,research_topic,metric,discipline,year,location,value
0,ageing,count_total,Medical Science,2007_2008,Wales,11.0
1,agriculture_plant_biology_entomology,count_total,Life Sciences,2007_2008,Wales,8.0
2,applications_devices_users,count_total,Mathematics and Computing,2007_2008,Wales,6.0
3,archaeology,count_total,Arts and Humanities,2007_2008,Wales,2.0
4,architecture_spatial,count_total,Arts and Humanities,2007_2008,Wales,0.0
5,astronomy,count_total,Physics,2007_2008,Wales,2.0
6,astrophysics,count_total,Physics,2007_2008,Wales,1.0
7,bio_informatics,count_total,Life Sciences,2007_2008,Wales,3.0
8,biopharmaceuticals,count_total,Life Sciences,2007_2008,Wales,0.0
9,bones_muscles,count_total,Life Sciences,2007_2008,Wales,0.0
10,carbon_greenhouse_pollution,count_total,Environmental Sciences,2007_2008,Wales,4.0
11,cells_cancer,count_total,Medical Science,2007_2008,Wales,8.0
12,cellular_biology_cancer,count_total,Life Sciences,2007_2008,Wales,8.0
13,chemistry_biochemistry,count_total,Engineering and Technology,2007_2008,Wales,7.0
14,classic_religious_history,count_total,Arts and Humanities,2007_2008,Wales,3.0
15,climate_science,count_total,Environmental Sciences,2007_2008,Wales,20.0
16,cognition_&_audio,count_total,Mathematics and Computing,2007_2008,Wales,0.0
17,computer_science,count_total,Mathematics and Computing,2007_2008,Wales,3.0
18,computer_vision,count_total,Mathematics and Computing,2007_2008,Wales,6.0
19,cosmology,count_total,Physics,2007_2008,Wales,1.0
20,criminology_violence,count_total,Social Sciences,2007_2008,Wales,2.0
21,cyber_security,count_total,Mathematics and Computing,2007_2008,Wales,1.0
22,data_methods,count_total,Medical Science,2007_2008,Wales,0.0
23,design_&_heritage,count_total,Arts and Humanities,2007_2008,Wales,10.0
24,development_studies,count_total,Social Sciences,2007_2008,Wales,0.0
25,disease_infection_health,count_total,Medical Science,2007_2008,Wales,0.0
26,drug_tests,count_total,Medical Science,2007_2008,Wales,2.0
27,economics,count_total,Social Sciences,2007_2008,Wales,3.0
28,ecosystems,count_total,Environmental Sciences,2007_2008,Wales,13.0
29,education,count_total,Social Sciences,2007_2008,Wales,6.0
30,electronics_transistors,count_total,Engineering and Technology,2007_2008,Wales,3.0
31,energy_environmental,count_total,Engineering and Technology,2007_2008,Wales,9.0
32,energy_transport_technology,count_total,Engineering and Technology,2007_2008,Wales,1.0
33,environment,count_total,Social Sciences,2007_2008,Wales,2.0
34,environmental_policy,count_total,Environmental Sciences,2007_2008,Wales,2.0
35,epidemiology_immunology,count_total,Life Sciences,2007_2008,Wales,3.0
36,evidence_for_policy,count_total,Social Sciences,2007_2008,Wales,9.0
37,experiments,count_total,Medical Science,2007_2008,Wales,0.0
38,gender_sexuality,count_total,Social Sciences,2007_2008,Wales,0.0
39,genetics,count_total,Medical Science,2007_2008,Wales,0.0
40,geology,count_total,Environmental Sciences,2007_2008,Wales,2.0
41,health_interventions_policy,count_total,Medical Science,2007_2008,Wales,4.0
42,health_social_issues,count_total,Arts and Humanities,2007_2008,Wales,1.0
43,hidrology,count_total,Environmental Sciences,2007_2008,Wales,0.0
